Funding;Funding_Submitted;Funding_SuccessRate;FundingInstrumentGaLevel1;FundingInstrumentReporting;Grants;Grants_Submitted;Grants_SuccessRate;MainDisciplineLevel1;MainDisciplineLevel2;Year
415893.000000;446073.000000;0.932300;Programmes;Bilateral programmes;2;2;1.000000;Mathematics, Natural- and Engineering Sciences;Environmental Sciences;2013
492918.000000;2738682.000000;0.180000;Programmes;Bilateral programmes;2;11;0.181800;Biology and Medicine;Basic Medical Sciences;2017
342186.000000;355811.000000;0.961700;Science communication;Open Access Books;19;20;0.950000;Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture;2019
0.000000;1850909.000000;0.000000;Programmes;Promotion of Young Scientists (PROMYS) Gesuch;0;3;0.000000;Mathematics, Natural- and Engineering Sciences;Engineering Sciences;2016
65536.000000;74836.000000;0.875700;Science communication;Scientific Exchanges;6;7;0.857100;Biology and Medicine;General Biology;2017
1786776.000000;9897211.000000;0.180500;Programmes;r4d (Swiss Programme for Research on Global Issues for Development);3;17;0.176500;Biology and Medicine;General Biology;2018
12920.000000;12920.000000;1.000000;Careers;International short research visits;2;2;1.000000;Biology and Medicine;Experimental Medicine;2015
2370978.000000;5643853.000000;0.420100;Programmes;r4d (Swiss Programme for Research on Global Issues for Development);2;8;0.250000;Humanities and Social Sciences;Ethnology, social and human geography;2018
152388.000000;533551.000000;0.285600;Infrastructure;R'EQUIP;2;3;0.666700;Biology and Medicine;Experimental Medicine;2006
2392228.000000;5282539.000000;0.452900;Infrastructure;R'EQUIP;10;16;0.625000;Mathematics, Natural- and Engineering Sciences;Engineering Sciences;2011
196678.000000;967467.000000;0.203300;Science communication;Agora;1;6;0.166700;Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health;2017
1104280.000000;2742177.000000;0.402700;Careers;Fellowships;16;41;0.390200;Humanities and Social Sciences;Ethnology, social and human geography;2014
200000.000000;200000.000000;1.000000;Infrastructure;Research Infrastructure;1;1;1.000000;Mathematics, Natural- and Engineering Sciences;Earth Sciences;2014
2507000.000000;3042807.000000;0.823900;Infrastructure;R'EQUIP;12;13;0.923100;Mathematics, Natural- and Engineering Sciences;Chemistry;2011
556193.000000;4432334.000000;0.125500;Careers;Ambizione;1;8;0.125000;Mathematics, Natural- and Engineering Sciences;Earth Sciences;2013
0.000000;1387302.000000;0.000000;Programmes;ProDoc;0;3;0.000000;Humanities and Social Sciences;Ethnology, social and human geography;2011
25800.000000;55800.000000;0.462400;Science communication;Scientific Conferences;2;2;1.000000;Mathematics, Natural- and Engineering Sciences;Environmental Sciences;2016
0.000000;14500.000000;0.000000;Science communication;International Exploratory Workshops;0;1;0.000000;Biology and Medicine;Basic Medical Sciences;2005
115739.000000;115739.000000;1.000000;Infrastructure;R'EQUIP;1;1;1.000000;Humanities and Social Sciences;Art studies, musicology, theatre and film studies, architecture;2013
151890.000000;160890.000000;0.944100;Careers;Fellowships;3;3;1.000000;Mathematics, Natural- and Engineering Sciences;Astronomy, Astrophysics and Space Sciences;2008
37979048.000000;151874551.000000;0.250100;Project funding;Project funding (Div. I-III);72;261;0.275900;Mathematics, Natural- and Engineering Sciences;Engineering Sciences;2020
188125.000000;370982.000000;0.507100;Science communication;Scientific Conferences;23;25;0.920000;Humanities and Social Sciences;Linguistics and literature, philosophy;2006
71500.000000;126818.000000;0.563800;Science communication;Scientific Conferences;8;8;1.000000;Biology and Medicine;Basic Biological Research;2015
