,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17
transdisciplinaryExp.rate.,0.116,0.025,0.029,0.036,0.028,0.078,0.175,0.206,-0.088,-0.098,-0.003,-0.095,0.178,0.665,-0.182,0.03,0.102
familiarWithSI.response.,0.139,0.061,0.058,0.149,0.01,-0.069,0.135,0.562,0.113,0.019,-0.169,-0.113,0.11,0.05,0.141,0.172,0.055
contribToSI.rate.,0.281,0.454,0.243,-0.032,0.039,0.006,0.128,-0.045,0.22,0.058,-0.229,0.055,0.188,0.475,0.044,0.222,-0.216
motivation.pheno.,0.065,0.189,-0.049,0.048,0.039,-0.031,0.205,0.137,0.058,-0.021,-0.152,0.611,0.1,0.088,-0.135,0.042,0.057
motivation.prob.,-0.071,0.159,0.114,0.053,0.095,0.105,-0.14,0.003,0.059,0.072,-0.158,0.025,0.032,0.093,-0.053,0.929,0.016
motivation.welfare.,0.045,0.374,0.688,-0.091,-0.035,-0.197,0.042,0.16,0.109,0.011,-0.102,-0.064,0.088,0.015,0.063,0.257,-0.203
benefitForNonAcademy,0.21,0.18,0.699,0.135,-0.008,0.047,0.203,0.099,0.099,0.191,0.029,-0.133,0.116,0.15,-0.135,0.028,0.121
groupsInvolved.res.,0.034,-0.058,0.051,0.208,0.644,0.053,0.168,0.241,-0.137,0.147,0.142,-0.021,0.054,0.044,0.138,-0.048,0.193
groupsInvolved.busi.,-0.237,0,0.1,0.639,0.109,0.07,-0.135,-0.041,0.08,-0.081,0.168,-0.058,-0.108,-0.056,0.047,-0.017,0.024
groupsInvolved.civsoc.,-0.096,0.204,0.112,0.026,0.072,0.033,0.11,0.852,0.116,-0.082,-0.079,0.249,-0.099,0.071,-0.167,-0.097,0.03
groupsInvolved.policy.,-0.189,0.228,0.104,0.012,-0.122,0.068,0.146,0.248,0.561,0.062,-0.119,0.132,0.087,-0.208,-0.154,0.034,0.018
groupsInvolved.citiz.,-0.225,0.529,0.052,0.2,0.208,-0.074,0.128,0.34,-0.023,0.197,-0.094,0.185,0.067,0.145,0.067,0.013,0.086
groupsInvolved.media.,0.157,0.256,0.295,0.062,0.174,-0.067,0.031,0.191,-0.009,0.428,0.049,0.106,0.104,-0.221,0.065,-0.03,0.044
groupsInvolved.welfare.,-0.098,0.68,0.178,0.036,-0.008,0.01,-0.05,0.106,0.109,0.05,-0.097,-0.036,0.006,0.002,0.021,-0.022,-0.108
targetGroupsGoals.socneeds.,-0.15,0.656,0.024,-0.044,-0.096,-0.029,0.172,0.06,0.118,0.086,0.101,0.071,-0.115,-0.032,0.033,0.15,0.031
targetGroupsGoals.socgroups.,-0.135,0.559,-0.009,-0.286,0.195,-0.258,0.048,-0.062,-0.021,0.076,-0.1,0.364,-0.166,0.102,0.021,0.095,0.073
targetGroupsGoals.improve.,0.086,0.315,0.031,-0.023,0.134,-0.124,0.132,0.121,0.186,-0.199,0.31,-0.085,-0.102,-0.231,-0.16,0.212,0.05
