"","id","submitdate","lastpage","startlanguage","seed","token","startdate","datestamp","ipaddr","refurl","transdisciplinaryExp.rate.","age","academicAge","familiarWithSI.response.","projectReference","projectReferenceNo","contribToSI.rate.","motivation.pheno.","motivation.prob.","motivation.welfare.","benefitForNonAcademy","impulseForNonAcad.soc.","impulseForNonAcad.econ.","impulseForNonAcad.ecol.","impulseForNonAcad.health.","impulseForNonAcad.tech.","impulseForNonAcad.other.","groupsInvolved.res.","groupsInvolved.busi.","groupsInvolved.civsoc.","groupsInvolved.policy.","groupsInvolved.citiz.","groupsInvolved.media.","groupsInvolved.welfare.","natureOfInvolvement.res.","natureOfInvolvement.busi.","natureOfInvolvement.civsoc.","natureOfInvolvement.policy.","natureOfInvolvement.citiz.","natureOfInvolvement.media.","natureOfInvolvement.welfare.","targetGroupsGoals.socneeds.","targetGroupsGoals.socgroups.","targetGroupsGoals.improve.","targetGroupsGoals.empower.","targetGroupsGoals.diversity.","concepts.pub.","concepts.data.","concepts.code.","concepts.infra.","concepts.review.","concepts2","concepts3","impactTargetGroup.pub.","impactTargetGroup.busi.","impactTargetGroup.socgr.","impactTargetGroup.welfare.","impactTargetGroup.civsoc.","impactTargetGroup.policy.","impactTargetGroup.acad.","kindOfChange.pub.","kindOfChange.busi.","kindOfChange.socgr.","kindOfChange.welfare.","kindOfChange.civsoc.","kindOfChange.policy.","kindOfChange.acad.","kindOfChangeOther","adoptByPolicy.rate.","adoptByPolicyHow.SQ001.","adoptByPolicyHow.SQ002.","adoptByPolicyHow.SQ003.","adoptByPolicyHow.other.","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","dissChannels.peer.","dissChannels.mono.","dissChannels.conf.","dissChannels.policy.","dissChannels.trad.","dissChannels.prof.","dissChannels.web.","dissChannels.socmed.","dissChannels.platf.","dissChannels.consult.","dissChannels.events.","dissChannels.public.","scalabilityRating.up.","scalabilityRating.out.","scalabilityRating.deep.","interestInSummary","SIthroughSNSF","resultsHighlight","feedback","thankYou"
"1",2,"2021-09-28 02:56:57",9,"en",1076101691,"jqhNrCMLanMcVsA","2021-09-27 06:03:26","2021-09-28 02:56:57","114.73.153.25","","6","40 to 49","> 15 years","8","Yes",NA,"0..not at all","8","8","8","to a large extent","No","No","No","No","Yes","","quite centrally","only marginally","no","no","no","no","no","collaborative (contributory + interpreting data and/or drawing conclusions)","consultative (provide information via interviews, online questionnaires, etc.)","","","","","","false","false","true","false","false","yes","no","no","no","no","No","No","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","10..to a high degree","","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","Not applicable","Not applicable","Not applicable","Not applicable","5","10..full extent","yes","no","yes","no","yes","yes","yes","yes","no","no","no","yes","","","","yes","","The project had delivered a new molecular concepts to achieve deep blue emitters for organic light emitting device applications. To my knowledge, it is not yet adopted by the industry. However, the concept has been taken up by other academic target groups. It requires some years of research to make improvements so that industry will be able to adopt it.","Although the primary project design was not to develop sensors for monitoring long COVID patients, one of the unexpected outcomes of the project has been using materials developed from the project in sensors to determine exhaled oxygen concentration in breathe of long-COVID patients (manuscript submitted to journal for consideration). This work was done in collaboration with a research group in India. This could not have been completely envisaged. I think in that way SNSF does a great job of funding fundamental science that could be useful for the public good. It has to be mentioned that this only comes about through collaboration.",NA
"2",3,"2021-09-27 06:21:56",9,"en",744509311,"I32cwAzs6xYoGXI","2021-09-27 06:14:57","2021-09-27 06:21:56","2a02:aa16:3881:580:9992:dd1f:3222:e418","","10..highly experienced","50 to 59","> 15 years","8","Yes",NA,"2","10..fully","2","3","no","No","No","No","Yes","No","","quite centrally","no","no","no","no","no","no","collaborative (contributory + interpreting data and/or drawing conclusions)","","","","","","","","","","","","yes","yes","yes","yes","yes","No","No","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","7","","","","","","","changing attitude","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","6","yes","no","yes","no","no","no","yes","no","no","yes","no","yes","","","","yes","This should not be done. SNSF should be about science, not political meddling. The contribution of science to society is good science.","","",NA
"3",4,"2021-09-27 06:29:16",9,"en",343728637,"hp0jXAR3PcNHDMB","2021-09-27 06:20:26","2021-09-27 06:29:16","129.132.90.13","","7","50 to 59","> 15 years","1","Yes",NA,"","9","9","5","to a minor extent","No","No","No","No","No","curiosity","quite centrally","quite centrally","no","no","no","only marginally","no","collaborative (contributory + interpreting data and/or drawing conclusions)","collaborative (contributory + interpreting data and/or drawing conclusions)","","","","consultative (provide information via interviews, online questionnaires, etc.)","","false","false","true","true","true","yes","yes","no","no","no","No","No","1","5","0..not at all","0..not at all","0..not at all","0..not at all","8","","changing understanding","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","0..not at all","0..not at all","5","5","yes","no","yes","no","yes","yes","yes","yes","yes","yes","no","no","8","10..very highly scalable","8","no","","","",NA
"4",5,"2021-09-27 06:30:39",9,"en",732155726,"vevhlz7zAMImcau","2021-09-27 06:23:02","2021-09-27 06:30:39","188.216.40.141","","5","50 to 59","> 15 years","4","Yes",NA,"","10..fully","5","0..not at all","no","No","No","No","No","No","scientific couriosity","quite centrally","no","no","no","only marginally","only marginally","only marginally","collaborative (contributory + interpreting data and/or drawing conclusions)","","","","consultative (provide information via interviews, online questionnaires, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","","","","","","yes","yes","no","no","yes","No","No","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","10..to a high degree","","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","yes","yes","yes","no","yes","yes","yes","yes","no","no","yes","no","","","","yes","","","",NA
"5",6,"2021-09-27 06:34:51",9,"en",1256303658,"w14vZGWXlDBOzZr","2021-09-27 06:25:41","2021-09-27 06:34:51","2a02:1205:507b:2bd0:3957:bdab:46ba:5777","","7","60 to 69","> 15 years","0..not at all","Yes",NA,"","7","7","10..fully","no","No","No","No","Yes","No","","only marginally","no","no","no","no","no","no","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","","","","","","","","","","","","yes","yes","yes","yes","no","No","No","5","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","10..to a high degree","changing understanding","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","7","yes","no","no","no","no","no","yes","yes","no","no","no","yes","Not applicable","Not applicable","Not applicable","yes","","","",NA
"6",7,"2021-09-27 06:44:35",9,"en",1857465652,"hMUnMxTLUJZ2QUJ","2021-09-27 06:37:57","2021-09-27 06:44:35","2a02:21b0:644d:a5cb:f956:f1ac:e7dc:10d1","","4","40 to 49","6-10 years","5","Yes",NA,"4","8","9","3","to a minor extent","No","No","No","Yes","No","","only marginally","no","no","only marginally","no","only marginally","only marginally","collaborative (contributory + interpreting data and/or drawing conclusions)","","","consultative (provide information via interviews, online questionnaires, etc.)","","contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","","","true","","","yes","","yes","no","no","Yes","Yes","2","0..not at all","3","4","0..not at all","2","7","","","changing awareness","changing behaviour","","","changing understanding","","1","N/A","N/A","N/A","","","","","","","","yes","no","yes","yes","no","yes","yes","no","","","yes","no","7","6","6","no","","","",NA
"7",8,"2021-09-27 06:56:23",9,"en",1981445861,"1Vven4PEa0XFC99","2021-09-27 06:48:18","2021-09-27 06:56:23","2a02:1205:34d9:5a10:18a6:fb4a:4720:62b7","","7","50 to 59","> 15 years","5","Yes",NA,"2","2","2","2","to a minor extent","No","No","No","Yes","No","","no","no","no","no","no","no","no","","","","","","","","false","false","false","false","true","yes","yes","no","no","no","No","No","2","2","1","1","1","1","8","","","","","","","changing understanding","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","8","yes","no","yes","no","no","no","yes","no","no","no","no","no","","","","yes","","","",NA
"8",10,"2021-09-27 07:17:53",9,"en",113241726,"dCE9EdaeKlqgX4B","2021-09-27 07:08:10","2021-09-27 07:17:53","2a02:120b:2c19:6d60:70d9:253b:fd37:e24c","","10..highly experienced","60 to 69","> 15 years","0..not at all","Yes",NA,"","10..fully","10..fully","0..not at all","no","No","No","No","No","No","","quite centrally","no","no","no","no","no","no","collaborative (contributory + interpreting data and/or drawing conclusions)","","","","","","","","","","","","yes","yes","no","no","no","No","No","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","","","","","","","","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","5","yes","no","no","no","no","no","yes","no","no","no","no","no","","","","no","","","This was a tiny project that supported only one phd student who turned out to be very weak and who did not complete the originally proposed research. The survey would be much more appropriate and would have had completely different answers for the other projects in my group",NA
"9",11,"2021-09-27 07:18:20",9,"en",1459574906,"mAfKfW7f98wA9Nv","2021-09-27 07:11:34","2021-09-27 07:18:20","85.5.122.168","","","50 to 59","> 15 years","4","Yes",NA,"","4","4","10..fully","to a minor extent","No","No","No","Yes","No","","only marginally","no","no","no","no","no","no","collaborative (contributory + interpreting data and/or drawing conclusions)","","","","","","","true","false","true","false","false","yes","yes","no","no","no","No","No","4","5","2","4","1","1","6","changing awareness","changing awareness","","changing awareness","","","changing attitude","","0..not at all","N/A","N/A","N/A","","5","2","1","2","7","4","yes","no","yes","no","no","no","yes","no","no","no","no","no","7","4","3","no","","","",NA
"10",12,"2021-09-27 07:31:25",9,"en",1794364104,"xRArNzZa4PQOGn5","2021-09-27 07:19:24","2021-09-27 07:31:25","2001:67c:10ec:578f:8000::f9","","8","50 to 59","> 15 years","7","Yes",NA,"3","10..fully","7","7","to a minor extent","No","No","No","No","Yes","","only marginally","only marginally","no","no","no","only marginally","no","consultative (provide information via interviews, online questionnaires, etc.)","consultative (provide information via interviews, online questionnaires, etc.)","","","","","","false","false","false","false","false","no","no","yes","yes","no","No","No","6","7","0..not at all","0..not at all","0..not at all","0..not at all","9","other","other","","","","","other","","0..not at all","N/A","N/A","N/A","","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","0..not at all","yes","no","yes","no","no","no","yes","no","no","no","no","no","7","0..not scalable at all","0..not scalable at all","yes","","","",NA
