"","transdisciplinaryExp.rate.","familiarWithSI.response.","contribToSI.rate.","motivation.pheno.","motivation.prob.","motivation.welfare.","benefitForNonAcademy","groupsInvolved.res.","groupsInvolved.busi.","groupsInvolved.civsoc.","groupsInvolved.policy.","groupsInvolved.citiz.","groupsInvolved.media.","groupsInvolved.welfare.","targetGroupsGoals.socneeds.","targetGroupsGoals.socgroups.","targetGroupsGoals.improve.","targetGroupsGoals.empower.","targetGroupsGoals.diversity.","concepts.pub.","concepts.data.","concepts.code.","concepts.infra.","concepts.review.","impactTargetGroup.pub.","impactTargetGroup.busi.","impactTargetGroup.socgr.","impactTargetGroup.welfare.","impactTargetGroup.civsoc.","impactTargetGroup.policy.","impactTargetGroup.acad.","adoptByPolicy.rate.","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","dissChannels.peer.","dissChannels.mono.","dissChannels.conf.","dissChannels.policy.","dissChannels.trad.","dissChannels.prof.","dissChannels.web.","dissChannels.socmed.","dissChannels.platf.","dissChannels.consult.","dissChannels.events.","dissChannels.public.","scalabilityRating.up.","scalabilityRating.out.","scalabilityRating.deep."
"transdisciplinaryExp.rate.",1,0.0590209984444319,0.401711365649632,0.318672930358305,0.324007002863875,0.365197311586825,0.352481154132423,0.350465799558875,-0.0709782380368659,0.207913125680953,-0.11981504612668,0.231834683116551,-0.148498703017364,0.224997883368019,-0.022261086717415,-0.0476256341187678,0.156497836381713,0.112934979135847,-0.0481660557539137,-0.012384925326037,-0.0864496923872484,0.156658290725521,0.229903350383689,0.437801372109162,0.191098635515881,0.138126238801652,0.118592014705259,0.114401827778639,0.415757218008608,0.167616614232217,0.0169289627165061,-0.140773715398919,0.419439618194599,0.159033616723533,0.0952086288787129,0.271254361763835,0.0856290251227502,0.247756724598377,-0.238325354893807,0.201669605599727,-0.111784168844081,-0.202799821750309,-0.0257520971012027,0.0779138035109525,0.114487797252263,0.15020392298996,0.262402636965248,0.245455191227496,0.231070978820144,0.0735774202891507,0.313423849761441,0.253791819315446,0.31520173086685
"familiarWithSI.response.",0.0590209984444319,1,0.168815246844802,-0.0602620933320249,0.06470422924029,0.393188503477911,0.429174202619725,0.229329540054818,0.00445983662968597,0.359715283336923,0.108608843669647,0.23706292499958,0.348457971393052,0.149048090941644,-0.00372999998139813,-0.117858555995957,-0.0299683445288655,0.0851536872123424,0.202497632097985,0.11205974256316,-0.0113362806618626,0.0629980480909688,0.121648124589061,0.253639998735073,0.366858621089769,-0.0501219114630426,0.142029333615791,0.358673818887202,0.262594734623686,0.182138566430607,-0.0470411794416214,0.116279437263966,0.21352857537116,0.105620396526602,0.0442092558589197,0.198263537790844,0.167696789830877,0.240563718877059,0.229181106455388,0.214911686774007,0.179810067173193,0.180802018991002,0.103558633514477,0.0745999996279626,0.0650561614129375,0.173104754119062,0,-0.114175476121083,0.145682986210365,0.340264081547568,0.196674765511185,0.203971793174162,0.341886285104646
"contribToSI.rate.",0.401711365649632,0.168815246844802,1,0.235817469201672,0.684062296381104,0.692848431063428,0.373228690555783,-0.0666019989767258,-0.0623004653612941,0.0953898645829892,0.186140292734815,0.434489402057538,0.187742699074656,0.511094097028333,0.509886720859334,0.330748552178055,0.276597843932414,0.331773978310173,0.00878489182353646,0.124237131608258,-0.135736341807277,-0.141434030105349,-0.0242761447544029,0.532217526152443,0.255353868495245,-0.0204258458556061,0.326552012749488,0.607553566548689,0.333543183831375,0.309505030316673,-0.0330146603353474,0.0931326480408189,0.626486928923542,0.509652496867548,0.492931656088183,0.509248191444173,0.3827463041113,0.420690578782612,-0.1767052111074,0.230623375166828,0.029902469614315,0.134343842905759,0.23249474124985,0.46150330939093,-0.234686033550213,0.264598841742444,0.341798906087927,0.088199613914148,0.18464998374865,0.30261220289663,0.520668784629283,0.389643683797064,0.592360463629747
"motivation.pheno.",0.318672930358305,-0.0602620933320249,0.235817469201672,1,0.246897961015124,0.0993539733382329,0.168422716985163,0.16514396546693,0.0158200396846357,0.424315931894434,0.260466833366411,0.332314521294542,0.0837363293510385,0.0526117213972721,0.322995612792331,0.349673105992893,0.062532018823256,0.266522828772022,0.133189447315694,-0.0584560312010168,-0.0591357753387505,-0.0739416806276325,0.0507662530994327,0.171226589914007,0.157766548224246,0.0367697082179236,0.476151164845726,0.0332288668586097,0.259138779019296,0.160940972164414,0.170174239537541,0.183611097132429,0.267545301645448,0.269422966468763,0.298497815135349,0.39981325726246,0.444183291594488,0.326011271240745,-0.184762892992718,0.266522828772022,-0.085981525881977,-0.236792057398515,-0.00771734608878061,0.143985996064051,0.0156630393246763,0.12296197133816,0.172530588131142,0.303562366741083,0.213609299590938,0.00771734608878061,0.123551186386234,0.268919767668487,0.273223516937258
"motivation.prob.",0.324007002863875,0.06470422924029,0.684062296381104,0.246897961015124,1,0.645448288021396,0.427396771587872,-0.150468275147734,-0.0511003850180799,0.0602570700568083,0.103262950439657,0.245284745339238,-0.061414376005598,0.277021555071214,0.442375643923314,0.262826926879981,0.338856363797572,0.0815106825336267,-0.163705855006824,0.118886101822166,-0.311432231838903,-0.284931181058581,-0.232305445220836,0.194945199017054,0.117677247430043,-0.0983137179892168,0.0882249913715278,0.214037763316398,0.276636618010843,0.215159986928314,-0.0798980909390708,0.0902321146197037,0.443776389431748,0.31210958291182,0.476720311187804,0.335531141836275,0.200040286324005,0.243370770805768,-0.272226155445445,0.06113301190022,-0.0451808485063429,0.115991734698524,0.0260211622513594,0.269924121715921,-0.0201189561641242,0.0814393294557688,0.166209855617506,0.0518250278354892,0.0633180402352403,0.0520423245027188,0.260550832222617,0.260852278495872,0.357338460212877
"motivation.welfare.",0.365197311586825,0.393188503477911,0.692848431063428,0.0993539733382329,0.645448288021396,1,0.701967174896537,0.0688802129873023,-0.0877365643324263,0.219149403056403,0.100619058061363,0.326475915302389,0.331879023096871,0.411063719677258,0.252239565840065,-0.0566060488194928,0.276353969678466,0.191118373154188,0.031573345538204,0.114818023207595,-0.050333036594425,-0.0927887644978181,-0.0207737362124118,0.489191885265581,0.23427724592266,-0.0137308739834733,0.192682321453621,0.488438992529209,0.430835957363555,0.135889655533567,-0.056647444813325,0.148551307167472,0.536419205979727,0.290110866578029,0.328192766366558,0.477978842205067,0.317624757989841,0.30250437306479,-0.192127300686912,0.348998768368518,-0.084441490735087,0.0748892470147243,0.216004888780033,0.355428479138273,-0.194844936378818,0.200008039162208,0.225920470081644,0.0301898927037295,0.0847201762806166,0.337270791253034,0.368087888428343,0.295457298329881,0.450738472937989
"benefitForNonAcademy",0.352481154132423,0.429174202619725,0.373228690555783,0.168422716985163,0.427396771587872,0.701967174896537,1,0.196626884019644,0.133765533278262,0.242997158517582,0.215841432302624,0.253464987994865,0.38800724176643,0.251525955166557,0.11277749207516,-0.0222717701593687,0.380562197553694,0.318765355098937,-0.042591770999996,0.240935440774734,0.0182802832369027,0.0333333333333333,0.13731430681185,0.306754778444434,0.386286998200539,0.0909907279518397,0.24204195754886,0.308281017085387,0.372179474606754,0.249592212039351,-0.0277428784573695,0.29456184680686,0.4807208067189,0.322859370832123,0.113365428585192,0.572987016465002,0.413685560277926,0.425728919362961,-0.125988157669742,0.4707919090692,-0.181220094073187,0.07909115788387,0.205759409927978,0.392465672421556,0.0726273039202563,0.298441720135541,0.328571428571429,0.160356745147455,0.261904761904762,0.205759409927978,0.231407852236905,0.317167133859486,0.367118478060486
"groupsInvolved.res.",0.350465799558875,0.229329540054818,-0.0666019989767258,0.16514396546693,-0.150468275147734,0.0688802129873023,0.196626884019644,1,0.0971859061499725,0.331025561064281,-0.0025130972078616,0.434720076337657,0.263908703380214,0.0984784261261629,0.101602216132377,0.117044841618479,0.272104578475094,0.386586388550699,0.339745833673733,0.423946910948071,0.274481082797247,0.23237722656867,0.368177512905428,-0.0338674053774591,0.35672180793878,-0.0546112311724688,0.275597538674427,0.270285988912869,-0.0194500392727467,-0.0599739412221822,-0.129096233608805,0.0779950231622671,0.23518887417468,0.146488491045179,-0.186976723293202,0.348330594486152,0.0467850937516091,0.117900097117996,0.331052804845329,0.257724259033799,0.136052289237547,-0.139713542884463,0.218280395958448,0.152403324198566,0.431659977679581,0.334413833195656,0.286002740392209,0.100324149958697,0.446879281862826,0.268652795025782,0.0375198405324774,0.0990962585123398,0.174979804674272
"groupsInvolved.busi.",-0.0709782380368659,0.00445983662968597,-0.0623004653612941,0.0158200396846357,-0.0511003850180799,-0.0877365643324263,0.133765533278262,0.0971859061499725,1,-0.0963343294485565,0.0949718021879109,0.102602153208358,-0.0673265420070349,-0.10066517587268,0.0316800568753594,-0.250252397843183,0.0636326316266465,-0.0344398527701663,-0.261720222274617,0.158626409094885,0.160470964215317,0.167206916597828,0.241078969391164,0,0.388044248873641,0.56551027158951,-0.0362597377535792,0.0380128106461236,-0.324826710014113,0.0521248601223918,0.117616055329754,0.334537579602316,-0.15632666818863,-0.12424995818025,-0.347144699294938,0.0971319184341676,-0.0795699052848271,0.0410779785162229,0.176955167523108,-0.206639116620998,0.0636326316266465,0.163362565551877,-0.188476259059815,-0.190080341252156,0.212516282113089,0.43794169622557,0.468179366473918,-0.0625630994607957,-0.133765533278262,-0.0628254196866051,0.164376467522791,0.0931395837434388,0.107939414055246
"groupsInvolved.civsoc.",0.207913125680953,0.359715283336923,0.0953898645829892,0.424315931894434,0.0602570700568083,0.219149403056403,0.242997158517582,0.331025561064281,-0.0963343294485565,1,0.403127363664637,0.34712267578881,0.178361075154289,0.15526475085203,-0.0575496812499063,0,0.231188831611886,0.187689298382387,0.339598852990379,0.0960530607330681,-0.0583019965954644,-0.0607492896293956,0.0625630994607957,0.115099362499813,0.194293857688074,0.105823340074368,0.642625216677696,0.213584699281757,0.623933900477199,0.264809648635209,0.125586515041073,0.318405280538854,0.448307866298524,0.456224883047208,0.411833249336184,0.482828332689023,0.406334616890073,0.32768727068414,-0.160727512683216,0.312815497303978,-0.346783247417829,0.05935256753273,0.114128042496284,0.172649043749719,0.0772109996149413,0.170477271212323,-0.0607492896293956,0.113651514141549,0.364495737776374,0.057064021248142,0.190461364773663,0.212704116391849,0.28287193629166
