"","new_domain","",""
"1","Mathematics, Natural- and Engineering Sciences","Inorganic Chemistry","Mathematics, Natural- and Engineering Sciences"
"2","Mathematics, Natural- and Engineering Sciences","Physical Chemistry","Mathematics, Natural- and Engineering Sciences"
"3","Mathematics, Natural- and Engineering Sciences","Physical Chemistry","Mathematics, Natural- and Engineering Sciences"
"4","Mathematics, Natural- and Engineering Sciences","Physical Chemistry","Mathematics, Natural- and Engineering Sciences"
"5","Biology and Medicine","Experimental Cancer Research","Biology and Medicine"
"6","Humanities and Social Sciences","Economics","Humanities and Social Sciences"
"7","Biology and Medicine","Immunology, Immunopathology","Biology and Medicine"
"8","Mathematics, Natural- and Engineering Sciences","Mathematics","Mathematics, Natural- and Engineering Sciences"
"9","Biology and Medicine","Pharmacology, Pharmacy","Biology and Medicine"
"10","Mathematics, Natural- and Engineering Sciences","Mechanical Engineering","Mathematics, Natural- and Engineering Sciences"
"11","Mathematics, Natural- and Engineering Sciences","Mathematics","Mathematics, Natural- and Engineering Sciences"
"12","Mathematics, Natural- and Engineering Sciences","Condensed Matter Physics","Mathematics, Natural- and Engineering Sciences"
"13","Biology and Medicine","Neurophysiology and Brain Research","Biology and Medicine"
"14","Humanities and Social Sciences","Economics","Humanities and Social Sciences"
"15","Humanities and Social Sciences","Sociology","Humanities and Social Sciences"
"16","Humanities and Social Sciences","Economics","Humanities and Social Sciences"
"17","Humanities and Social Sciences","Other languages and literature","Humanities and Social Sciences"
"18","Humanities and Social Sciences","Science of management","Humanities and Social Sciences"
"19","Mathematics, Natural- and Engineering Sciences","Hydrology, Limnology, Glaciology","Mathematics, Natural- and Engineering Sciences"
"20","Humanities and Social Sciences","Sociology","Humanities and Social Sciences"
"21","Mathematics, Natural- and Engineering Sciences","Electrical Engineering","Mathematics, Natural- and Engineering Sciences"
"22","Humanities and Social Sciences","Political science","Humanities and Social Sciences"
"23","Mathematics, Natural- and Engineering Sciences","Geochemistry","Mathematics, Natural- and Engineering Sciences"
"24","Mathematics, Natural- and Engineering Sciences","Physical Chemistry","Mathematics, Natural- and Engineering Sciences"
"25","Mathematics, Natural- and Engineering Sciences","Theoretical Physics","Mathematics, Natural- and Engineering Sciences"
"26","Mathematics, Natural- and Engineering Sciences","Mathematics","Mathematics, Natural- and Engineering Sciences"
"27","Mathematics, Natural- and Engineering Sciences","Inorganic Chemistry","Mathematics, Natural- and Engineering Sciences"
"28","Mathematics, Natural- and Engineering Sciences","Condensed Matter Physics","Mathematics, Natural- and Engineering Sciences"
"29","Humanities and Social Sciences","Swiss history","Humanities and Social Sciences"
"30","Humanities and Social Sciences","Education and learning sciences, subject-specific education","Humanities and Social Sciences"
"31","Mathematics, Natural- and Engineering Sciences","Astronomy, Astrophysics and Space Sciences","Mathematics, Natural- and Engineering Sciences"
"32","Mathematics, Natural- and Engineering Sciences","Mineralogy","Mathematics, Natural- and Engineering Sciences"
"33","Biology and Medicine","Neurophysiology and Brain Research","Biology and Medicine"
"34","Mathematics, Natural- and Engineering Sciences","Astronomy, Astrophysics and Space Sciences","Mathematics, Natural- and Engineering Sciences"
"35","Biology and Medicine","Biochemistry","Mathematics, Natural- and Engineering Sciences"
"36","Humanities and Social Sciences","General history (without pre-and early history)","Humanities and Social Sciences"
"37","Mathematics, Natural- and Engineering Sciences","Inorganic Chemistry","Mathematics, Natural- and Engineering Sciences"
"38","Humanities and Social Sciences","Sociology","Humanities and Social Sciences"
"39","Humanities and Social Sciences","Psychology","Humanities and Social Sciences"
"40","Biology and Medicine","Cellular Biology, Cytology","Mathematics, Natural- and Engineering Sciences"
"41","Mathematics, Natural- and Engineering Sciences","Climatology. Atmospherical Chemistry, Aeronomy","Mathematics, Natural- and Engineering Sciences"
"42","Mathematics, Natural- and Engineering Sciences","Theoretical Physics","Mathematics, Natural- and Engineering Sciences"
"43","Humanities and Social Sciences","Political science","Humanities and Social Sciences"
"44","Humanities and Social Sciences","Philosophy","Humanities and Social Sciences"
"45","Biology and Medicine","Experimental Microbiology","Mathematics, Natural- and Engineering Sciences"
