"","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","scores","scores2","g6.composite","g6.rowsums"
"1",NA,NA,NA,NA,5,10,7.5,3.16666666666667,7.5,2.5
"2",0,0,0,0,0,6,1,1,1,1
"3",0,0,0,0,5,5,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667
"4",0,0,0,0,0,0,0,0,0,0
"5",NA,NA,NA,NA,NA,7,7,2.33333333333333,7,1.16666666666667
"6",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"7",0,0,0,0,0,8,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333
"8",0,0,0,0,0,5,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
"9",5,2,1,2,7,4,3.5,3.5,3.5,3.5
"10",0,0,0,0,0,0,0,0,0,0
"11",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"12",5,5,0,0,0,0,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667
"13",2,2,2,2,2,9,3.16666666666667,3.16666666666667,3.16666666666667,3.16666666666667
"14",NA,NA,8,NA,3,9,6.66666666666667,3.66666666666667,6.66666666666667,3.33333333333333
"15",2,0,8,1,5,7,3.83333333333333,3.83333333333333,3.83333333333333,3.83333333333333
"16",0,0,8,5,5,4,3.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667
"17",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"18",7,2,3,3,7,7,4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333
"19",8,4,1,1,7,5,4.33333333333333,4.33333333333333,4.33333333333333,4.33333333333333
"20",0,0,1,0,1,1,0.5,0.5,0.5,0.5
"21",10,10,NA,NA,NA,10,10,5.83333333333333,10,5
"22",0,0,7,0,3,3,2.16666666666667,2.16666666666667,2.16666666666667,2.16666666666667
"23",6,2,6,8,10,10,7,7,7,7
"24",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"25",0,0,0,0,0,2,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"26",0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,NA,0,1.16666666666667,0,0
"28",0,0,0,0,0,0,0,0,0,0
"29",6,10,7,8,10,10,8.5,8.5,8.5,8.5
"30",7,7,1,0,0,1,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667
"31",0,0,0,0,0,0,0,0,0,0
"32",5,0,0,0,10,10,4.16666666666667,4.16666666666667,4.16666666666667,4.16666666666667
"33",0,0,0,0,0,0,0,0,0,0
"34",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"35",0,0,0,0,0,7,1.16666666666667,1.16666666666667,1.16666666666667,1.16666666666667
"36",8,8,9,NA,7,8,8,6.66666666666667,8,6.66666666666667
"37",5,0,6,3,0,0,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333
"38",4,3,7,0,9,6,4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333
"39",NA,NA,5,NA,8,8,7,3.83333333333333,7,3.5
"40",2,1,6,2,0,0,1.83333333333333,1.83333333333333,1.83333333333333,1.83333333333333
"41",0,0,0,0,7,9,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667
"42",0,0,0,0,2,8,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667
"43",3,1,7,3,4,7,4.16666666666667,4.16666666666667,4.16666666666667,4.16666666666667
"44",4,4,7,2,8,4,4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333
"45",0,0,0,0,0,0,0,0,0,0
"46",9,4,10,8,10,10,8.5,8.5,8.5,8.5
"47",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"48",9,2,6,9,6,8,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667
"49",1,0,3,0,3,8,2.5,2.5,2.5,2.5
"50",0,0,0,0,0,0,0,0,0,0
"51",3,0,0,0,0,0,0.5,0.5,0.5,0.5
"52",NA,NA,0,0,0,8,2,1.66666666666667,2,1.33333333333333
"53",4,5,4,5,6,7,5.16666666666667,5.16666666666667,5.16666666666667,5.16666666666667
"54",NA,NA,NA,NA,NA,10,10,2.83333333333333,10,1.66666666666667
"55",1,2,3,0,9,8,3.83333333333333,3.83333333333333,3.83333333333333,3.83333333333333
"56",0,0,0,0,0,0,0,0,0,0
"57",0,0,1,0,2,2,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
"58",1,0,0,0,10,8,3.16666666666667,3.16666666666667,3.16666666666667,3.16666666666667
"59",4,5,7,5,5,5,5.16666666666667,5.16666666666667,5.16666666666667,5.16666666666667
"60",NA,NA,10,NA,10,7,9,4.83333333333333,9,4.5
"61",NA,NA,0,0,9,10,4.75,3.5,4.75,3.16666666666667
"62",NA,NA,8,NA,NA,9,8.5,3.66666666666667,8.5,2.83333333333333
"63",0,0,5,0,8,8,3.5,3.5,3.5,3.5
"64",0,0,8,0,0,9,2.83333333333333,2.83333333333333,2.83333333333333,2.83333333333333
"65",1,1,4,1,3,6,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667
"66",6,1,1,1,0,0,1.5,1.5,1.5,1.5
"67",NA,NA,NA,NA,NA,9,9,2.66666666666667,9,1.5
"68",2,3,5,5,6,7,4.66666666666667,4.66666666666667,4.66666666666667,4.66666666666667
"69",NA,NA,NA,NA,NA,7,7,2.33333333333333,7,1.16666666666667
"70",3,0,0,0,0,0,0.5,0.5,0.5,0.5
"71",1,0,1,1,3,4,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667
"72",7,5,6,5,3,3,4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333
"73",NA,2,4,2,0,NA,2,2.83333333333333,2,1.33333333333333
"74",6,2,1,1,1,1,2,2,2,2
"75",6,6,6,6,1,2,4.5,4.5,4.5,4.5
