"","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","rowSums","nCell","zCell","composite","composite2"
"1",NA,NA,NA,NA,5,10,15,3,NA,5,2.5
"2",0,0,0,0,0,6,6,3,5,2,1
"3",0,0,0,0,5,5,10,3,4,3.33,1.67
"4",0,0,0,0,0,0,0,3,6,0,0
"5",NA,NA,NA,NA,NA,7,7,3,NA,2.33,1.17
"6",NA,NA,NA,NA,NA,NA,0,99,NA,NA,0
"7",0,0,0,0,0,8,8,3,5,2.67,1.33
"8",0,0,0,0,0,5,5,3,5,1.67,0.83
"9",5,2,1,2,7,4,21,6,0,3.5,3.5
"10",0,0,0,0,0,0,0,3,6,0,0
"11",NA,NA,NA,NA,NA,NA,0,99,NA,NA,0
"12",5,5,0,0,0,0,10,3,4,3.33,1.67
"13",2,2,2,2,2,9,19,6,0,3.17,3.17
"14",NA,NA,8,NA,3,9,20,3,NA,6.67,3.33
"15",2,0,8,1,5,7,23,6,1,3.83,3.83
"16",0,0,8,5,5,4,22,6,2,3.67,3.67
"17",NA,NA,NA,NA,NA,NA,0,99,NA,NA,0
"18",7,2,3,3,7,7,29,6,0,4.83,4.83
"19",8,4,1,1,7,5,26,6,0,4.33,4.33
"20",0,0,1,0,1,1,3,3,3,1,0.5
"21",10,10,NA,NA,NA,10,30,3,NA,10,5
"22",0,0,7,0,3,3,13,3,3,4.33,2.17
"23",6,2,6,8,10,10,42,6,0,7,7
"24",NA,NA,NA,NA,NA,NA,0,99,NA,NA,0
"25",0,0,0,0,0,2,2,3,5,0.67,0.33
"26",0,0,0,0,0,0,0,3,6,0,0
"27",0,0,0,0,0,NA,0,5,NA,0,0
"28",0,0,0,0,0,0,0,3,6,0,0
"29",6,10,7,8,10,10,51,6,0,8.5,8.5
"30",7,7,1,0,0,1,16,6,2,2.67,2.67
"31",0,0,0,0,0,0,0,3,6,0,0
"32",5,0,0,0,10,10,25,3,3,8.33,4.17
"33",0,0,0,0,0,0,0,3,6,0,0
"34",NA,NA,NA,NA,NA,NA,0,99,NA,NA,0
"35",0,0,0,0,0,7,7,3,5,2.33,1.17
"36",8,8,9,NA,7,8,40,5,NA,8,6.67
"37",5,0,6,3,0,0,14,3,3,4.67,2.33
"38",4,3,7,0,9,6,29,6,1,4.83,4.83
"39",NA,NA,5,NA,8,8,21,3,NA,7,3.5
"40",2,1,6,2,0,0,11,6,2,1.83,1.83
"41",0,0,0,0,7,9,16,3,4,5.33,2.67
"42",0,0,0,0,2,8,10,3,4,3.33,1.67
"43",3,1,7,3,4,7,25,6,0,4.17,4.17
"44",4,4,7,2,8,4,29,6,0,4.83,4.83
"45",0,0,0,0,0,0,0,3,6,0,0
"46",9,4,10,8,10,10,51,6,0,8.5,8.5
"47",NA,NA,NA,NA,NA,NA,0,99,NA,NA,0
"48",9,2,6,9,6,8,40,6,0,6.67,6.67
"49",1,0,3,0,3,8,15,6,2,2.5,2.5
"50",0,0,0,0,0,0,0,3,6,0,0
"51",3,0,0,0,0,0,3,3,5,1,0.5
"52",NA,NA,0,0,0,8,8,4,NA,2,1.33
"53",4,5,4,5,6,7,31,6,0,5.17,5.17
"54",NA,NA,NA,NA,NA,10,10,3,NA,3.33,1.67
"55",1,2,3,0,9,8,23,6,1,3.83,3.83
"56",0,0,0,0,0,0,0,3,6,0,0
"57",0,0,1,0,2,2,5,3,3,1.67,0.83
"58",1,0,0,0,10,8,19,3,3,6.33,3.17
"59",4,5,7,5,5,5,31,6,0,5.17,5.17
"60",NA,NA,10,NA,10,7,27,3,NA,9,4.5
"61",NA,NA,0,0,9,10,19,4,NA,4.75,3.17
"62",NA,NA,8,NA,NA,9,17,3,NA,5.67,2.83
"63",0,0,5,0,8,8,21,3,3,7,3.5
"64",0,0,8,0,0,9,17,3,4,5.67,2.83
"65",1,1,4,1,3,6,16,6,0,2.67,2.67
"66",6,1,1,1,0,0,9,6,2,1.5,1.5
"67",NA,NA,NA,NA,NA,9,9,3,NA,3,1.5
"68",2,3,5,5,6,7,28,6,0,4.67,4.67
"69",NA,NA,NA,NA,NA,7,7,3,NA,2.33,1.17
"70",3,0,0,0,0,0,3,3,5,1,0.5
"71",1,0,1,1,3,4,10,6,1,1.67,1.67
"72",7,5,6,5,3,3,29,6,0,4.83,4.83
"73",NA,2,4,2,0,NA,8,4,NA,2,1.33
"74",6,2,1,1,1,1,12,6,0,2,2
"75",6,6,6,6,1,2,27,6,0,4.5,4.5
"76",NA,NA,NA,NA,NA,NA,0,99,NA,NA,0
"77",0,0,0,0,0,0,0,3,6,0,0
"78",0,7,0,0,0,5,12,3,4,4,2
"79",NA,NA,0,0,0,0,0,4,NA,0,0
"80",2,2,9,2,9,9,33,6,0,5.5,5.5
"81",0,0,0,0,0,NA,0,5,NA,0,0
"82",2,1,1,1,7,5,17,6,0,2.83,2.83
"83",NA,NA,NA,NA,NA,9,9,3,NA,3,1.5
"84",NA,NA,NA,NA,NA,NA,0,99,NA,NA,0
"85",NA,NA,NA,NA,NA,10,10,3,NA,3.33,1.67
"86",4,0,1,1,4,3,13,6,1,2.17,2.17
"87",0,0,2,0,3,4,9,3,3,3,1.5
"88",NA,NA,NA,NA,NA,9,9,3,NA,3,1.5
"89",NA,NA,NA,NA,9,9,18,3,NA,6,3
"90",8,8,8,8,6,7,45,6,0,7.5,7.5
"91",2,5,2,4,5,3,21,6,0,3.5,3.5
"92",NA,NA,NA,NA,NA,5,5,3,NA,1.67,0.83
"93",3,3,3,2,3,7,21,6,0,3.5,3.5
"94",0,0,0,0,0,4,4,3,5,1.33,0.67
